,skey,yy,signgu,rstrt_se,mnmnu,rstrt_nm,adres,telno,rstrt_mentn_co,kwrd_list,kwrd_list_fq_co,kwrd_all,rstrt_mentn_co_all,final_keywords
10,24,2020,창원시,한식,삼계탕,백제계삼탕,"의창구 원이대로579번길 26 (용호동,1층)",055-261-1250,1,"맛집, 미리, 백제, 삼계탕, 용호동, 점심시간, 주문, 창원, 가시, 건강, 고추, 공간, 국물, 국산, 국수, 기본, 기피, 김치, 달라, 드라마","3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","맛집,맛집,맛집,미리,미리,백제,백제,삼계탕,삼계탕,용호동,용호동,점심시간,점심시간,주문,주문,창원,창원,가시,건강,고추,공간,국물,국산,국수,기본,기피,김치,달라,드라마",0,맛집 맛집 맛집 미리 미리 백제 백제 삼계탕 삼계탕 용호동 용호동 점심시간 점심시간 주문 주문 창원 창원 가시 건강 고추 공간 국물 국산 국수 기본 기피 김치 달라 드라마
11,29,2020,창원시,한식,메기탕,생초메기탕,"의창구 사화로10번길 4 (팔용동,1층)",055-294-5278,2,"어탕, 국수, 맛집, 마창진, 만난, 메기, 생초, 수고, 수다, 어디, 왓어, 용동, 친구, 탕집","4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","어탕,어탕,어탕,어탕,국수,국수,맛집,맛집,마창진,만난,메기,생초,수고,수다,어디,왓어,용동,친구,탕집",0,어탕 어탕 어탕 어탕 국수 국수 맛집 맛집 마창진 만난 메기 생초 수고 수다 어디 왓어 용동 친구 탕집
12,31,2020,창원시,한식,한정식,석정한정식,의창구 상남로 262(신월동),055-287-7000,1,"한정식, 창원, 추천, 내일, 맛집, 모시, 식사, 어디가, 어른, 제발","3, 2, 2, 1, 1, 1, 1, 1, 1, 1","한정식,한정식,한정식,창원,창원,추천,추천,내일,맛집,모시,식사,어디가,어른,제발",0,한정식 한정식 한정식 창원 창원 추천 추천 내일 맛집 모시 식사 어디가 어른 제발
13,34,2020,창원시,한식,"백숙,건강탕",성심농장가든,의창구 북면 온천로 775-18,055-298-4342,1,"백숙, 감사, 마산, 말복, 맛집, 미리, 오늘, 창원, 추천, 혹시","2, 1, 1, 1, 1, 1, 1, 1, 1, 1","백숙,백숙,감사,마산,말복,맛집,미리,오늘,창원,추천,혹시",0,백숙 백숙 감사 마산 말복 맛집 미리 오늘 창원 추천 혹시
14,35,2020,창원시,한식,"양고기, 양꼬치",생포갈비,의창구 원이대로279번길 18 (봉곡동),055-273-9289,1,"맛집, 돌싱, 클럽, 갈비, 곡동, 구글플레이, 김경, 닉네임, 모임, 방도, 본인, 비상, 상권, 상담, 생포, 성별, 소개팅, 소송, 신청, 싱글","3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","맛집,맛집,맛집,돌싱,돌싱,클럽,클럽,갈비,곡동,구글플레이,김경,닉네임,모임,방도,본인,비상,상권,상담,생포,성별,소개팅,소송,신청,싱글",0,맛집 맛집 맛집 돌싱 돌싱 클럽 클럽 갈비 곡동 구글플레이 김경 닉네임 모임 방도 본인 비상 상권 상담 생포 성별 소개팅 소송 신청 싱글
15,36,2020,창원시,한식,소숯불갈비,소반(팔용동),"의창구 의창대로70번길 1 (팔용동,외1필지 소반빌딩 2층)",055-297-3700,8,"용동, 맛집, 창원, 의창구, 창원시, 경남, 번길, 지도, 추천, 네이버, 막창, 팔용로, 가격, 동쪽, 변동, 뷔페, 식당, 카페, 특선, 근처","25, 23, 19, 18, 18, 17, 10, 6, 6, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 3","용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,용동,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,창원,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,의창구,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,창원시,경남,경남,경남,경남,경남,경남,경남,경남,경남,경남,경남,경남,경남,경남,경남,경남,경남,번길,번길,번길,번길,번길,번길,번길,번길,번길,번길,지도,지도,지도,지도,지도,지도,추천,추천,추천,추천,추천,추천,네이버,네이버,네이버,네이버,네이버,막창,막창,막창,막창,막창,팔용로,팔용로,팔용로,팔용로,팔용로,가격,가격,가격,가격,동쪽,동쪽,동쪽,동쪽,변동,변동,변동,변동,뷔페,뷔페,뷔페,뷔페,식당,식당,식당,식당,카페,카페,카페,카페,특선,특선,특선,특선,근처근처근처",0,용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 용동 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 창원 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 의창구 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 창원시 경남 경남 경남 경남 경남 경남 경남 경남 경남 경남 경남 경남 경남 경남 경남 경남 경남 번길 번길 번길 번길 번길 번길 번길 번길 번길 번길 지도 지도 지도 지도 지도 지도 추천 추천 추천 추천 추천 추천 네이버 네이버 네이버 네이버 네이버 막창 막창 막창 막창 막창 팔용로 팔용로 팔용로 팔용로 팔용로 가격 가격 가격 가격 동쪽 동쪽 동쪽 동쪽 변동 변동 변동 변동 뷔페 뷔페 뷔페 뷔페 식당 식당 식당 식당 카페 카페 카페 카페 특선 특선 특선 특선 근처근처근처
16,37,2020,창원시,한식,돼지고기,수제갈비 창원중동점,"의창구 평산로185번길 48, 1,2층 (중동)",055-253-9939,1,"갈비, 수제, 창원, 중동, 가격, 계산, 맛집, 방문, 이안, 정말, 추천","5, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1","갈비,갈비,갈비,갈비,갈비,수제,수제,수제,창원,창원,창원,중동,중동,가격,계산,맛집,방문,이안,정말,추천",0,갈비 갈비 갈비 갈비 갈비 수제 수제 수제 창원 창원 창원 중동 중동 가격 계산 맛집 방문 이안 정말 추천
17,42,2020,창원시,한식,갈비류,유정숯불갈비,의창구 원이대로55번길 9 (도계동),055-277-4787,3,"갈비, 칸막이, 느낌, 유정, 인테리어, 테이블, 맛집, 우드, 감각, 계동, 소파, 외관, 창원, 가게, 가구, 나무, 돼지갈비, 뒷쪽, 모습, 백라이트","7, 7, 6, 6, 5, 5, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2","갈비,갈비,갈비,갈비,갈비,갈비,갈비,칸막이,칸막이,칸막이,칸막이,칸막이,칸막이,칸막이,느낌,느낌,느낌,느낌,느낌,느낌,유정,유정,유정,유정,유정,유정,인테리어,인테리어,인테리어,인테리어,인테리어,테이블,테이블,테이블,테이블,테이블,맛집,맛집,맛집,맛집,우드,우드,우드,우드,감각,감각,감각,계동,계동,계동,소파,소파,소파,외관,외관,외관,창원,창원,창원,가게,가게,가구,가구,나무,나무,돼지갈비,돼지갈비,뒷쪽,뒷쪽,모습,모습,백라이트백라이트",0,갈비 갈비 갈비 갈비 갈비 갈비 갈비 칸막이 칸막이 칸막이 칸막이 칸막이 칸막이 칸막이 느낌 느낌 느낌 느낌 느낌 느낌 유정 유정 유정 유정 유정 유정 인테리어 인테리어 인테리어 인테리어 인테리어 테이블 테이블 테이블 테이블 테이블 맛집 맛집 맛집 맛집 우드 우드 우드 우드 감각 감각 감각 계동 계동 계동 소파 소파 소파 외관 외관 외관 창원 창원 창원 가게 가게 가구 가구 나무 나무 돼지갈비 돼지갈비 뒷쪽 뒷쪽 모습 모습 백라이트백라이트
18,44,2020,창원시,한식,감자탕,이바돔감자탕(용호동),"의창구 용지로169번길 15 (용호동,외1필지 레이크펄스 2층 201,202호)",055-261-1301,3,"놀이, 데리, 맛집, 밥집, 아시, 애기, 가성, 근처, 마산, 먹기, 상가, 식당, 연년생, 음식점, 정우, 창원, 추천, 혹시","2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","놀이,놀이,데리,데리,맛집,맛집,밥집,밥집,아시,아시,애기,애기,가성,근처,마산,먹기,상가,식당,연년생,음식점,정우,창원,추천,혹시",0,놀이 놀이 데리 데리 맛집 맛집 밥집 밥집 아시 아시 애기 애기 가성 근처 마산 먹기 상가 식당 연년생 음식점 정우 창원 추천 혹시
19,47,2020,창원시,한식,"석쇠구이,국밥",임진각식당(팔용동),의창구 팔용로 515 (팔용동),055-256-3535,6,"임진각, 창원, 식당, 아주, 추천, 맛집, 불고기, 석쇠, 용동, 가족, 때문, 백김치, 손님, 시간, 식사, 이제, 가면, 괴기, 메인, 명절","8, 7, 5, 5, 5, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2","임진각,임진각,임진각,임진각,임진각,임진각,임진각,임진각,창원,창원,창원,창원,창원,창원,창원,식당,식당,식당,식당,식당,아주,아주,아주,아주,아주,추천,추천,추천,추천,추천,맛집,맛집,맛집,맛집,불고기,불고기,불고기,불고기,석쇠,석쇠,석쇠,석쇠,용동,용동,용동,용동,가족,가족,가족,때문,때문,때문,백김치,백김치,백김치,손님,손님,손님,시간,시간,시간,식사,식사,식사,이제,이제,이제,가면,가면,괴기,괴기,메인,메인,명절명절",0,임진각 임진각 임진각 임진각 임진각 임진각 임진각 임진각 창원 창원 창원 창원 창원 창원 창원 식당 식당 식당 식당 식당 아주 아주 아주 아주 아주 추천 추천 추천 추천 추천 맛집 맛집 맛집 맛집 불고기 불고기 불고기 불고기 석쇠 석쇠 석쇠 석쇠 용동 용동 용동 용동 가족 가족 가족 때문 때문 때문 백김치 백김치 백김치 손님 손님 손님 시간 시간 시간 식사 식사 식사 이제 이제 이제 가면 가면 괴기 괴기 메인 메인 명절명절
20,51,2020,창원시,중식,중국음식,장독옛날손짜장,의창구 대산면 진산대로 424 (1층),055-293-8110,1,"김해, 정보, 시민, 카페, 게시, 맛집, 센터, 수타면, 인력, 일용직, 장독, 게시판, 경우, 공유, 광고, 광장, 구인, 구직, 국물, 대산면","57, 7, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2","김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,김해,정보,정보,정보,정보,정보,정보,정보,시민,시민,시민,시민,카페,카페,카페,카페,게시,게시,게시,맛집,맛집,맛집,센터,센터,센터,수타면,수타면,수타면,인력,인력,인력,일용직,일용직,일용직,장독,장독,장독,게시판,게시판,경우,경우,공유,공유,광고,광고,광장,광장,구인,구인,구직,구직,국물,국물,대산면대산면",0,김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 김해 정보 정보 정보 정보 정보 정보 정보 시민 시민 시민 시민 카페 카페 카페 카페 게시 게시 게시 맛집 맛집 맛집 센터 센터 센터 수타면 수타면 수타면 인력 인력 인력 일용직 일용직 일용직 장독 장독 장독 게시판 게시판 경우 경우 공유 공유 광고 광고 광장 광장 구인 구인 구직 구직 국물 국물 대산면대산면
21,54,2020,창원시,한식,아구찜,전원아구찜,"의창구 의창대로54번길 6-8 (팔용동,대심빌딩 1층)",055-297-9821,1,"용동, 주위, 근처, 넝숭, 도계, 부디, 석고, 요즘, 찜맛, 찜집, 추천","2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1","용동,용동,주위,주위,근처,넝숭,도계,부디,석고,요즘,찜맛,찜집,추천",0,용동 용동 주위 주위 근처 넝숭 도계 부디 석고 요즘 찜맛 찜집 추천
22,55,2020,창원시,한식,순대국밥,전통순대촌,의창구 북면 천주로 869,055-298-7564,12,"맛집, 북면, 추천, 창원, 온천, 식당, 순대, 가게, 국밥집, 국집, 그릇, 마산, 메뉴, 볶음밥, 불고기, 사장, 설렁탕, 전골, 전통, 정식","18, 13, 9, 8, 7, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3","맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,맛집,북면,북면,북면,북면,북면,북면,북면,북면,북면,북면,북면,북면,북면,추천,추천,추천,추천,추천,추천,추천,추천,추천,창원,창원,창원,창원,창원,창원,창원,창원,온천,온천,온천,온천,온천,온천,온천,식당,식당,식당,식당,식당,순대,순대,순대,순대,가게,가게,가게,국밥집,국밥집,국밥집,국집,국집,국집,그릇,그릇,그릇,마산,마산,마산,메뉴,메뉴,메뉴,볶음밥,볶음밥,볶음밥,불고기,불고기,불고기,사장,사장,사장,설렁탕,설렁탕,설렁탕,전골,전골,전골,전통,전통,전통,정식정식정식",1,맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 맛집 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 북면 추천 추천 추천 추천 추천 추천 추천 추천 추천 창원 창원 창원 창원 창원 창원 창원 창원 온천 온천 온천 온천 온천 온천 온천 식당 식당 식당 식당 식당 순대 순대 순대 순대 가게 가게 가게 국밥집 국밥집 국밥집 국집 국집 국집 그릇 그릇 그릇 마산 마산 마산 메뉴 메뉴 메뉴 볶음밥 볶음밥 볶음밥 불고기 불고기 불고기 사장 사장 사장 설렁탕 설렁탕 설렁탕 전골 전골 전골 전통 전통 전통 정식정식정식
23,56,2020,창원시,한식,고기요리,정운각,의창구 동읍 동읍로 622,055-299-8453,3,"남방, 동읍, 모임, 정모, 정운, 회원, 가물, 생각, 참석, 가락, 검토, 곳도, 기억, 다른, 다음주, 댓글, 마지막, 만남, 모두, 모든","6, 3, 3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","남방,남방,남방,남방,남방,남방,동읍,동읍,동읍,모임,모임,모임,정모,정모,정모,정운,정운,정운,회원,회원,회원,가물,가물,생각,생각,참석,참석,가락,검토,곳도,기억,다른,다음주,댓글,마지막,만남,모두,모든",0,남방 남방 남방 남방 남방 남방 동읍 동읍 동읍 모임 모임 모임 정모 정모 정모 정운 정운 정운 회원 회원 회원 가물 가물 생각 생각 참석 참석 가락 검토 곳도 기억 다른 다음주 댓글 마지막 만남 모두 모든
